Date,SPY,QQQ,IWM,IWD,IWF
2002-07-01,59.66122817993164,20.216320037841797,29.046981811523438,28.170711517333984,29.492733001708984
2002-08-01,60.066993713378906,19.911161422729492,28.862077713012695,28.271251678466797,29.461763381958008
2002-09-01,53.52885437011719,17.563194274902344,26.458459854125977,25.030120849609375,26.542694091796875
2002-10-01,58.19313049316406,20.809667587280273,27.6412353515625,27.111656188964844,28.83152198791504
2002-11-01,61.78253173828125,23.496702194213867,29.982398986816406,28.842180252075195,30.48369789123535
2002-12-01,58.002498626708984,20.65709114074707,28.12726402282715,27.272218704223633,28.20325469970703
2003-01-01,56.853946685791016,20.716426849365234,27.677942276000977,26.76740837097168,27.582239151000977
2003-02-01,56.08761215209961,21.32672882080078,26.8465518951416,26.18680191040039,27.512250900268555
2003-03-01,55.98188781738281,21.40302085876465,26.842849731445312,25.977310180664062,27.88559913635254
2003-04-01,60.963478088378906,23.267837524414062,29.669090270996094,28.408344268798828,30.12693214416504
2003-05-01,64.30645751953125,25.251327514648438,32.893821716308594,30.309852600097656,31.70148277282715
2003-06-01,64.75749206542969,25.386951446533203,33.21892166137695,30.430187225341797,31.997682571411133
2003-07-01,66.1630630493164,26.955087661743164,35.43687057495117,31.099395751953125,32.8608283996582
2003-08-01,67.52771759033203,28.302839279174805,37.132354736328125,31.55292510986328,33.649757385253906
2003-09-01,66.53582000732422,27.48062515258789,36.323909759521484,31.08729362487793,33.290435791015625
2003-10-01,70.36637878417969,29.82012939453125,39.57925033569336,33.22551345825195,35.131568908691406
2003-11-01,71.13484954833984,29.989654541015625,41.06114196777344,33.58417510986328,35.460174560546875
2003-12-01,74.36249542236328,30.905109405517578,41.567604064941406,35.48068618774414,36.61818313598633
2004-01-01,76.19093322753906,31.434452056884766,43.61296844482422,36.501007080078125,37.6129264831543
2004-02-01,77.22489929199219,31.010467529296875,44.027950286865234,37.28180694580078,37.83311462402344
2004-03-01,75.9358139038086,30.391448974609375,44.36751174926758,36.83302307128906,37.03886413574219
2004-04-01,74.76016998291016,29.484102249145508,41.995914459228516,35.97277069091797,36.68834686279297
2004-05-01,76.04034423828125,30.99351692199707,42.89926528930664,36.32490158081055,37.40524673461914
2004-06-01,77.16551971435547,32.00259017944336,44.596343994140625,37.103275299072266,37.69675064086914
2004-07-01,74.95195007324219,29.585874557495117,41.6864128112793,36.805721282958984,35.77294921875
2004-08-01,75.13450622558594,28.84813690185547,41.05731201171875,37.25880813598633,35.386356353759766
2004-09-01,75.5740737915039,29.797876358032227,43.145416259765625,37.58775329589844,35.6624870300293
2004-10-01,76.86644744873047,31.290298461914062,44.1359748840332,38.36236572265625,36.232582092285156
2004-11-01,80.05110168457031,33.17279815673828,48.196678161621094,40.30262756347656,37.663856506347656
2004-12-01,82.31783294677734,33.85118865966797,49.19190216064453,41.406890869140625,38.86580276489258
2005-01-01,80.85234069824219,32.0180549621582,47.344383239746094,40.942447662353516,37.74185562133789
2005-02-01,82.54248046875,31.863935470581055,48.12175750732422,42.342567443847656,38.1949577331543
2005-03-01,80.71549987792969,31.30748176574707,46.54792785644531,41.319175720214844,37.2569694519043
2005-04-01,79.51437377929688,29.9462833404541,44.11254119873047,40.92955780029297,36.6815185546875
2005-05-01,82.0766830444336,32.600181579589844,46.96432113647461,41.904205322265625,38.515220642089844
2005-06-01,81.87062072753906,31.487260818481445,48.767269134521484,42.17637634277344,38.26803207397461
2005-07-01,85.34618377685547,33.9156608581543,52.09382629394531,43.66054153442383,40.28086853027344
2005-08-01,84.54611206054688,33.401519775390625,51.05023956298828,43.44443893432617,39.68994140625
2005-09-01,84.8634033203125,33.81281280517578,50.942832946777344,43.74950408935547,39.79376220703125
2005-10-01,83.2090072631836,33.3072624206543,49.089820861816406,42.737892150878906,39.321937561035156
2005-11-01,86.86619567871094,35.33808135986328,51.914520263671875,44.36861801147461,41.154396057128906
2005-12-01,86.2428207397461,34.62686538696289,51.35264587402344,44.144805908203125,40.81831741333008
2006-01-01,88.78202056884766,36.07612991333008,55.90113830566406,46.092864990234375,41.47861862182617
2006-02-01,89.29034423828125,35.303077697753906,56.07883071899414,46.56277847290039,41.582916259765625
2006-03-01,90.40450286865234,36.01601791381836,58.698150634765625,47.06492614746094,42.31302261352539
2006-04-01,91.91045379638672,35.972503662109375,59.009788513183594,48.399658203125,42.29364776611328
2006-05-01,89.1420669555664,33.36807632446289,55.6566047668457,47.22166442871094,40.733768463134766
2006-06-01,88.98126220703125,33.3250732421875,55.54818344116211,47.208744049072266,40.56491470336914
2006-07-01,89.77479553222656,31.911075592041016,54.04337692260742,48.596553802490234,39.84243392944336
2006-08-01,91.73393249511719,33.43351745605469,55.66436004638672,49.33177947998047,40.97917175292969
2006-09-01,93.7983627319336,34.964561462402344,55.842777252197266,50.14508819580078,42.01915740966797
2006-10-01,97.18016052246094,36.64570617675781,59.31277847290039,51.96764373779297,43.65906524658203
2006-11-01,99.11256408691406,37.90222930908203,60.744441986083984,53.18425750732422,44.499755859375
2006-12-01,99.88130187988281,37.14487838745117,60.71332931518555,54.09346008300781,44.48358154296875
2007-01-01,101.94844055175781,37.97425842285156,62.00238037109375,55.06318283081055,45.74885940551758
2007-02-01,99.94849395751953,37.33661651611328,61.596065521240234,54.240455627441406,44.92251205444336
2007-03-01,100.70732879638672,37.50896072387695,62.08051300048828,54.720909118652344,45.09264373779297
2007-04-01,105.58538818359375,39.62777328491211,63.20977783203125,57.05060577392578,47.28403854370117
2007-05-01,109.16683959960938,40.87799835205078,65.97335815429688,59.082218170166016,49.022064208984375
2007-06-01,107.10904693603516,41.04180908203125,64.90077209472656,57.40797424316406,48.08808135986328
2007-07-01,104.2026596069336,41.013511657714844,60.47511672973633,54.83818054199219,47.52238845825195
2007-08-01,105.53987121582031,42.16979217529297,61.76146697998047,55.65647888183594,48.100440979003906
2007-09-01,109.10816955566406,44.36155319213867,62.78116989135742,57.179931640625,50.257957458496094
2007-10-01,111.113037109375,47.509918212890625,64.72662353515625,57.596221923828125,51.818077087402344
2007-11-01,106.80934143066406,44.29828643798828,60.26842498779297,54.818458557128906,50.03939437866211
2007-12-01,105.04904174804688,44.22059631347656,59.67872619628906,53.71406555175781,49.59064865112305
2008-01-01,99.2215347290039,39.003421783447266,55.96664810180664,51.85369873046875,45.77780532836914
2008-02-01,96.65738677978516,37.1193733215332,54.32564926147461,49.840415954589844,45.01731491088867
2008-03-01,95.32110595703125,37.78483581542969,53.8759651184082,49.45661926269531,44.51846694946289
2008-04-01,100.35872650146484,40.832942962646484,56.42152786254883,51.8588752746582,47.11893844604492
2008-05-01,101.87580871582031,43.25471496582031,59.00554656982422,51.73008346557617,48.66878128051758
2008-06-01,92.89678955078125,39.0684928894043,54.56451416015625,46.802433013916016,45.2984619140625
